last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Bethancourt, Christian,542194,188,11.1,26.6,109.2,88.8,93.9,86.5,431,149,410,76,40.4,16,8.5,5.9
Taylor, Michael A.,572191,188,12.1,29.3,113.1,87.2,93.8,82,444,157,404,68,36.2,24,12.8,7.6
Vázquez, Christian,543877,188,9.4,37.8,106.6,86.8,90.9,83.1,412,160,401,64,34,6,3.2,2.3
Stanton, Giancarlo,519317,187,13.3,27.8,118.3,92.8,96.8,90.7,485,171,412,89,47.6,30,16,10.3
Moreno, Gabriel,672515,186,4.2,31.7,109.7,89.9,92.8,88.3,417,135,381,73,39.2,9,4.8,3.5
McCormick, Chas,676801,186,17.3,40.3,109.4,88.8,93.1,82.8,435,194,390,72,38.7,23,12.4,7.3
Haase, Eric,606992,186,14.1,29.6,109.9,87.2,92.3,84.8,427,158,388,68,36.6,9,4.8,3.2
Senzel, Nick,669222,185,15.2,28.6,108.8,87,91.3,84.7,429,158,391,61,33,8,4.3,3
Sánchez, Jesús,660821,185,5.1,36.2,112.8,91.1,95.6,88.7,461,144,418,89,48.1,21,11.4,7.5
Heyward, Jason,518792,184,15.7,34.2,112.7,88.2,92.6,87.5,414,166,393,71,38.6,16,8.7,5.9
Jansen, Danny,643376,183,19.4,36.6,109,88.1,93.5,81.7,427,191,387,66,36.1,20,10.9,7.5
Cabrera, Miguel,408234,183,5.7,32.8,111.5,89.3,92.6,87.3,438,135,422,65,35.5,8,4.4,3.1
Farmer, Kyle,571657,182,13.9,37.9,105.5,87.8,93.3,82.7,433,165,401,64,35.2,13,7.1,4.8
Wendle, Joey,621563,182,3.2,33,106.5,88.8,92.2,86.8,406,138,351,71,39,5,2.7,2
Urshela, Gio,570482,181,8.6,34.8,106.1,87.5,90.1,85.1,402,152,394,61,33.7,7,3.9,3.1
Yastrzemski, Mike,573262,181,18.2,34.8,110.1,90.7,94.6,86.9,418,191,392,85,47,18,9.9,6.3
Morel, Christopher,666624,180,12.8,27.8,113.6,91.8,96.7,89.1,461,174,408,89,49.4,27,15,8.6
Tauchman, Mike,643565,179,7.4,39.1,109.4,88.3,92.8,83.9,410,159,388,70,39.1,12,6.7,4.4
Sheets, Gavin,657757,179,16,28.5,109.5,89.3,93.6,88.1,423,168,400,66,36.9,11,6.1,4.4
Isbel, Kyle,664728,178,14.1,32,107.9,89.2,92.7,87.6,418,169,405,70,39.3,9,5.1,3.9
Bleday, JJ,668709,178,15.6,29.2,108.8,88.7,93.8,85,434,165,397,63,35.4,11,6.2,3.9
Madrigal, Nick,663611,178,3.7,31.5,106.9,86.1,88.7,85.2,390,123,376,48,27,2,1.1,0.9
Maton, Nick,665155,177,18,32.2,106.1,86,90.6,80.4,408,184,393,55,31.3,15,8.5,5.2
Wong, Connor,657136,177,15.3,35,113.6,89.7,94.4,86.5,427,167,394,68,38.4,15,8.5,4.9
Maldonado, Martín,455117,176,17.8,31.3,108.7,88.5,92.9,84.6,438,162,397,70,39.8,16,9.1,5.2
Castro, Harold,605612,174,10.5,38.5,106.1,85.9,91.3,79.9,413,166,388,51,29.3,6,3.4,2.5
Crawford, Brandon,543063,174,13.2,31.6,110.4,89.4,92.7,86.9,420,160,394,69,39.7,17,9.8,6.4
Siri, Jose,642350,173,13.5,32.9,113.7,88.7,93.2,83.1,457,183,403,69,39.9,24,13.9,8.1
Neto, Zach,687263,173,12.7,34.1,109.9,89.4,94.9,83.5,436,169,403,70,40.5,17,9.8,6.7
Carlson, Dylan,666185,173,15,34.1,109.1,89.3,92.2,87.2,445,168,405,65,37.6,10,5.8,3.9
Marcano, Tucupita,672779,172,14.4,32,105.5,88.3,92.7,84.1,419,164,403,60,34.9,9,5.2,4.1
Rivera, Emmanuel,656896,172,10.5,39,109.3,91.1,94.8,87.4,418,168,393,84,48.8,12,7,5
Walls, Taylor,670764,171,20.1,32.2,104.8,86.7,89.5,83.4,404,180,377,48,28.1,6,3.5,2.2
Bailey, Patrick,672275,171,12.1,39.2,108.5,89.3,92.3,86,432,167,395,69,40.4,19,11.1,7.5
Laureano, Ramón,657656,171,13.7,37.4,110.9,88.3,90.2,87.1,440,162,416,57,33.3,17,9.9,6.2
O'Hearn, Ryan,656811,171,15.3,37.4,109.7,92.2,96.6,87.2,406,185,375,92,53.8,18,10.5,7.5
Thaiss, Matt,642136,169,9.2,35.5,110,89,94.4,83.4,450,167,418,69,40.8,18,10.7,6.4
Jankowski, Travis,608671,169,6.7,29.6,108.7,85.3,85,87.1,388,137,378,46,27.2,0,0,0
Brown, Seth,664913,168,16.3,32.7,113.3,90.6,95,85.8,437,195,399,80,47.6,23,13.7,8.7
Rojas, Josh,668942,165,11.2,36.4,105.7,86.8,89,84.8,402,162,380,43,26.1,6,3.6,2.4
Belt, Brandon,474832,165,19.5,44.2,109.9,88.7,93.8,79.4,427,200,401,66,40,21,12.7,6.2
Baddoo, Akil,668731,165,9.4,29.1,111.7,88,91.4,86.3,429,154,402,58,35.8,9,5.5,3.5
Doyle, Brenton,686668,163,11.9,29.4,111,88.2,93.7,83.4,441,157,403,60,36.8,16,9.8,5.5
Sabol, Blake,666165,163,15.9,31.9,111.6,89.6,95.6,85.5,436,164,405,65,39.9,19,11.7,6.7
Escobar, Eduardo,500871,161,14.7,31.1,108.9,86.3,90,83.4,404,159,369,48,30.6,7,4.3,3.1
Bae, Ji Hwan,678225,161,3.6,24.2,107.7,87.7,92.1,84.8,403,117,381,56,34.8,4,2.5,1.7
Moniak, Mickey,666160,161,21.4,40.4,110.5,88.8,92.8,85.4,429,204,401,60,38.2,22,13.7,8.4
Noda, Ryan,676116,160,18.2,41.3,113.9,90.8,95.9,84,427,199,392,72,45,23,14.4,6.7
Vogelbach, Daniel,596129,160,12.8,30,112.6,91.6,95.6,88.8,411,161,395,79,49.4,13,8.1,5
Mancini, Trey,641820,160,12.3,32.5,109.1,88.9,92.4,87.9,419,151,398,65,40.6,6,3.8,2.3
Sosa, Edmundo,624641,159,14,31.4,111.8,86.4,91.1,83.6,421,153,388,46,28.9,9,5.7,4
Allen, Nick,669397,159,6.6,27.7,103.9,84.9,89.2,83.2,395,128,377,42,26.4,3,1.9,1.4
Altuve, Jose,514888,159,11.7,30.8,109.6,87.4,93.4,84,421,141,397,50,31.4,12,7.5,5.2
Kirilloff, Alex,666135,158,12.7,43,107.8,88.5,92.5,82.7,422,178,382,57,36.1,11,7,4.3
Cabrera, Oswaldo,665828,158,13.2,25.3,106.8,88.1,92.7,86.5,404,140,362,55,34.8,7,4.4,3.1
De La Cruz, Elly,682829,157,4.6,31.8,116.6,91,95.2,87.9,458,140,417,73,46.5,12,7.6,4.5
Vargas, Ildemaro,545121,155,3.8,25.8,108.1,87.9,91.2,86.7,407,127,394,50,32.3,6,3.9,3.4
Judge, Aaron,592450,155,20.4,39.4,116.9,97.3,100.5,92.9,464,228,411,99,63.9,43,27.7,14.9
Taylor, Chris,621035,154,22.8,34.4,110.8,86.2,92.2,76.2,430,197,410,56,36.4,17,11,6.2
Arroyo, Christian,624414,153,11.1,35.9,109.6,86.3,88.9,85.8,404,156,390,50,32.7,7,4.6,3.4
Pratto, Nick,668472,152,13.1,43.4,107.6,88,93.9,81.8,438,182,387,65,42.8,14,9.2,4.7
Schmitt, Casey,669477,152,14.2,30.9,111.6,87,89.6,86.2,443,151,432,49,32.2,8,5.3,3.7
Rogers, Jake,668670,151,14.5,39.7,109.1,90.4,95.8,83.2,414,188,399,72,48,19,12.6,7.2
Wong, Kolten,543939,150,13.5,28.7,107.9,85.8,89,84.5,387,148,371,40,26.7,2,1.3,0.9
