last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Torkelson, Spencer,679529,329,17.6,35.3,112.7,92.5,96.1,89.8,440,190,406,172,52.6,47,14.3,9.3
Reynolds, Bryan,668804,329,12.3,37.4,112.6,91.3,94.4,88,428,173,405,161,48.9,39,11.9,8.4
Carroll, Corbin,682998,328,10.9,30.8,113.8,90.2,93.9,88.2,446,159,399,132,40.2,26,7.9,5.4
Profar, Jurickson,595777,326,14.1,37.7,108,86.7,89.5,85.5,417,164,393,104,31.9,13,4,2.8
Díaz, Yandy,650490,326,6.4,30.1,114.5,93.9,95.2,93.8,440,150,405,174,53.4,28,8.6,6.1
Vaughn, Andrew,683734,325,12.7,31.4,111.7,91.1,95.4,88.4,427,167,395,151,46.5,30,9.2,6.5
Soto, Juan,665742,324,5.6,26.9,115.3,93.1,99.1,89,463,151,418,185,57.1,41,12.7,7.7
Abreu, José,547989,323,10.3,32.2,111.7,88.9,92.3,86.6,452,155,400,129,39.9,22,6.8,4.7
Abrams, CJ,682928,323,13.2,33.4,112.5,86.8,92,83.8,414,154,396,110,34.1,22,6.8,5
Renfroe, Hunter,592669,322,15.5,30.4,113.2,88.7,92.4,88.1,430,166,392,126,39.5,20,6.2,4.3
Dubón, Mauricio,643289,322,8.7,34.8,107,86.8,88.9,86.1,409,148,391,92,28.6,12,3.7,3.1
Olson, Matt,621566,322,17.4,31.7,118.6,94.9,98.2,91.1,464,204,414,186,57.8,60,18.6,11.2
Peña, Jeremy,665161,322,5.5,32.9,111.6,88,91.2,86.4,432,136,388,118,36.6,15,4.7,3.2
Ohtani, Shohei,660271,321,13.3,35.2,118.3,94.9,99.5,90.5,493,187,422,177,55.3,64,19.9,12
García, Adolis,666969,319,14.9,36.4,115.1,91.9,95.6,88,448,194,405,157,49.2,51,16,10
Perez, Salvador,521692,319,16,37.6,113.1,90.4,94.2,87.4,462,189,407,145,45.5,32,10,7.1
Alonso, Pete,624413,319,16.4,32.3,115.7,89.3,94.8,85.2,453,182,408,132,41.4,48,15,10
Candelario, Jeimer,600869,318,14.4,37.1,111.3,88.4,92.8,85.3,443,176,399,117,36.8,23,7.2,4.9
Báez, Javier,595879,316,7.7,27.2,113.1,87.9,93.1,84.6,434,139,393,122,39,12,3.8,2.7
Hernández, Teoscar,606192,315,12.4,34.9,112.6,90.6,96.7,84,437,176,407,150,47.6,44,14,8.8
Correa, Carlos,621043,313,10.3,30.7,113.9,89.9,95.1,87.2,425,159,394,140,44.7,31,9.9,6.7
Kim, Ha-Seong,673490,311,14.8,37.3,108.5,86.9,91.1,84.5,425,169,386,93,29.9,16,5.1,3.4
Soler, Jorge,624585,311,17.8,35,114.8,90.8,96,85.4,468,193,410,145,46.6,46,14.8,9.4
Arozarena, Randy,668227,309,11.4,32.4,114.3,92.4,96.2,89.9,436,169,399,153,49.5,39,12.6,7.8
India, Jonathan,663697,309,14.6,35.9,111.4,89.4,93.3,86.7,430,170,391,119,38.5,23,7.4,5.1
Naylor, Josh,647304,308,13.8,37,112.1,89,94.1,85.8,442,174,396,129,41.9,27,8.8,6.9
Happ, Ian,664023,307,12.6,36.5,112.6,89.5,94,85.2,429,163,401,117,38.1,28,9.1,5.5
Bell, Josh,605137,307,9.1,32.2,114,89.9,93.3,87.5,464,158,401,130,42.3,32,10.4,7
Varsho, Daulton,662139,305,19.8,33.4,112.5,87.8,93.1,83.2,446,170,399,113,37,22,7.2,4.9
Tovar, Ezequiel,678662,304,13,37.8,109.4,88.4,92.1,85.3,447,175,409,115,37.8,25,8.2,5.6
Crawford, J.P.,641487,303,14.2,35,110.1,89,90.9,89.7,420,164,382,114,37.6,12,4,2.6
Robert Jr., Luis,673357,301,16.5,37.9,113.6,88.5,93.6,84.2,450,187,405,124,41.2,45,15,9.4
Taveras, Leody,665750,300,10.2,36,112.2,90.1,91.8,89.1,436,166,404,126,42,20,6.7,4.9
Straw, Myles,664702,300,9.9,33.7,106.2,86.8,87.7,87.1,385,144,380,74,24.7,2,0.7,0.5
Contreras, William,661388,300,3.7,28.3,113.5,90.8,96.5,87.3,440,140,407,144,48,28,9.3,6.5
Suárez, Eugenio,553993,296,19.1,36.5,110.2,90.6,94,86.6,434,198,402,132,44.6,38,12.8,7.3
Hays, Austin,669720,295,10.6,31.9,111,89.6,92.6,87.8,439,164,406,115,39,27,9.2,6.4
Jung, Josh,673962,294,15.4,43.2,110,92.1,95,88.7,444,199,401,144,49,36,12.2,7.8
Swanson, Dansby,621020,294,12.3,36.7,109,89.5,95.9,83.8,429,169,391,121,41.2,38,12.9,8.3
Friedl, TJ,670770,293,16.2,31.7,105.4,86.5,88.3,86.6,406,156,382,78,26.6,7,2.4,1.8
Melendez, MJ,669004,293,17.8,33.4,113.2,93.6,95.8,90.9,445,201,409,151,51.5,36,12.3,7.7
Adames, Willy,642715,292,18.2,35.6,109.8,86.7,93.4,79.6,429,184,398,103,35.3,36,12.3,7.6
Frazier, Adam,624428,291,14.3,40.2,106.7,86,88.8,84.3,413,170,381,73,25.1,10,3.4,2.7
Ruiz, Esteury,665923,291,9.8,32.6,109.5,82.9,86.5,80.8,412,131,397,57,19.6,5,1.7,1.2
Chapman, Matt,656305,291,16.8,33.3,114.3,93.7,98.2,89.9,423,186,389,169,58.1,51,17.5,10.5
Hernández, Enrique,571771,290,16.5,28.6,109.2,88.2,90.9,87.6,431,165,394,103,35.5,12,4.1,3.1
Díaz, Elias,553869,287,12.7,30.3,111.7,88.1,92.1,87,453,160,421,116,40.4,19,6.6,4.7
Bellinger, Cody,641355,285,18,38.6,109.2,87.1,91,82.8,422,186,397,89,31.2,18,6.3,4.8
Anderson, Tim,641313,285,1.2,30.5,109.6,87.8,92.5,85.5,429,113,429,113,39.6,9,3.2,2.3
Schwarber, Kyle,656941,284,18.5,33.5,114.4,91.6,96.1,88.6,450,186,400,132,46.5,41,14.4,7.6
